Year,Surgery,# of Cases
2015,Breast,58
2017,Breast,63
2016,Rectum,3
2017,Colon,13
2016,Prostate,1
2017,Pancreas,1
2018,Rectum,1
2017,Bladder,1
2014,Rectum,3
2016,Colon,13
2018,Breast,57
2013,Rectum,3
2014,Breast,59
2017,Rectum,5
2016,Breast,62
2013,Lung,4
2014,Colon,17
2015,Colon,9
2016,Lung,2
2014,Lung,2
2017,Liver,1
2017,Stomach,1
2019,Rectum,6
2016,Colon,9
2021,Colon,17
2020,Prostate,35
2013,Lung,1
2017,Prostate,51
2016,Stomach,4
2016,Breast,41
2014,Breast,22
2016,Prostate,24
2018,Breast,57
2015,Colon,5
2018,Colon,14
2019,Colon,19
2020,Breast,48
2014,Prostate,23
2016,Rectum,4
2014,Lung,1
2015,Prostate,23
2017,Colon,17
2014,Rectum,1
2020,Stomach,2
2017,Breast,26
2021,Bladder,2
2013,Colon,12
2017,Bladder,1
2018,Stomach,1
2018,Prostate,74
2019,Stomach,1
2013,Breast,28
2021,Liver,1
2013,Rectum,1
2021,Prostate,28
2019,Prostate,54
2021,Breast,40
2015,Rectum,1
2017,Rectum,7
2014,Stomach,1
2013,Prostate,13
2018,Bladder,2
2014,Liver,1
2013,Stomach,1
2020,Bladder,2
2014,Colon,11
2020,Rectum,15
2018,Lung,1
2020,Esophagus,1
2016,Lung,1
2020,Liver,1
2020,Colon,19
2018,Rectum,2
2015,Breast,14
2021,Rectum,8
2019,Breast,38
2016,Bladder,1
2017,Prostate,13
2017,Stomach,3
2020,Lung,9
2019,Breast,178
2020,Colon,36
2020,Bladder,3
2014,Bladder,1
2015,Rectum,13
2016,Colon,41
2014,Lung,22
2019,Liver,3
2014,Brain,9
2017,Breast,170
2015,Bladder,2
2020,Prostate,9
2017,Bladder,1
2021,Colon,24
2013,Brain,6
2018,Bladder,5
2016,Breast,221
2015,Brain,6
2021,Brain,8
2015,Prostate,6
2013,Bladder,4
2017,Lung,7
2020,Breast,193
2016,Bladder,3
2014,Colon,36
2018,Lung,11
2013,Rectum,7
2014,Breast,163
2019,Lung,13
2013,Lung,14
2016,Liver,1
2019,Pancreas,6
2018,Pancreas,6
2019,Rectum,16
2017,Liver,1
2015,Colon,22
2016,Prostate,12
2020,Rectum,17
2013,Breast,158
2020,Brain,5
2021,Rectum,6
2019,Bladder,1
2015,Stomach,1
2021,Stomach,4
2020,Stomach,7
2016,Stomach,2
2013,Stomach,1
2016,Pancreas,1
2018,Liver,5
2019,Colon,34
2018,Prostate,14
2021,Pancreas,8
2018,Breast,211
2020,Liver,4
2017,Brain,10
2021,Liver,5
2018,Brain,14
2013,Colon,41
2017,Rectum,24
2014,Rectum,23
2018,Stomach,5
2018,Colon,33
2021,Breast,195
2015,Breast,99
2020,Pancreas,9
2021,Lung,8
2015,Lung,22
2019,Brain,13
2013,Prostate,10
2016,Lung,18
2019,Stomach,2
2019,Prostate,7
2016,Brain,9
2016,Rectum,25
2018,Rectum,28
2014,Prostate,9
2017,Colon,45
2021,Prostate,7
2014,Breast,15
2021,Breast,7
2021,Colon,5
2020,Colon,2
2013,Colon,2
2018,Colon,4
2018,Breast,1
2013,Breast,9
2016,Breast,15
2019,Rectum,1
2018,Rectum,1
2019,Breast,2
2019,Colon,3
2017,Breast,4
2015,Colon,1
2016,Colon,3
2015,Rectum,1
2015,Breast,11
2014,Colon,3
2017,Colon,2
2013,Colon,1
2014,Colon,11
2013,Rectum,6
2013,Stomach,2
2015,Breast,1
2013,Bladder,1
2013,Colon,11
2013,Prostate,1
2015,Rectum,1
2013,Breast,17
2014,Breast,12
2014,Rectum,1
2015,Colon,15
2013,Breast,77
2016,Rectum,9
2018,Rectum,5
2019,Breast,66
2019,Prostate,1
2017,Breast,46
2020,Rectum,5
2020,Breast,41
2021,Prostate,1
2014,Rectum,10
2014,Breast,68
2014,Colon,18
2015,Rectum,4
2017,Liver,2
2021,Breast,64
2021,Colon,12
2015,Stomach,2
2016,Stomach,5
2016,Colon,14
2020,Stomach,1
2016,Prostate,1
2021,Rectum,1
2018,Breast,57
2013,Colon,18
2016,Breast,52
2019,Colon,13
2017,Rectum,4
2015,Breast,34
2017,Prostate,1
2013,Rectum,3
2017,Stomach,3
2018,Colon,17
2020,Colon,10
2013,Stomach,1
2017,Colon,21
2017,Pancreas,1
2018,Stomach,3
2019,Rectum,5
2021,Colon,7
2019,Colon,8
2015,Colon,8
2019,Bladder,2
2018,Breast,24
2014,Lung,4
2019,Pancreas,1
2016,Lung,1
2021,Liver,1
2020,Rectum,1
2019,Breast,15
2016,Prostate,4
2018,Rectum,1
2018,Pancreas,2
2017,Prostate,2
2020,Colon,5
2019,Stomach,2
2018,Prostate,4
2015,Breast,25
2021,Lung,1
2014,Bladder,1
2020,Prostate,4
2014,Breast,37
2019,Prostate,1
2016,Stomach,1
2013,Bladder,1
2016,Colon,7
2013,Breast,33
2021,Prostate,2
2018,Bladder,1
2021,Rectum,2
2021,Breast,10
2019,Rectum,4
2020,Breast,6
2013,Colon,9
2018,Colon,9
2014,Prostate,1
2016,Breast,26
2016,Bladder,1
2017,Breast,28
2018,Stomach,1
2017,Colon,7
2017,Rectum,1
2015,Lung,2
2020,Lung,1
2015,Prostate,1
2013,Stomach,1
2014,Colon,7
2019,Lung,1
2016,Rectum,1
2013,Prostate,3
2017,Brain,33
2018,Rectum,7
2017,Rectum,6
2021,Colon,50
2018,Bladder,1
2015,Liver,2
2021,Bladder,1
2019,Lung,35
2015,Colon,29
2015,Stomach,1
2016,Pancreas,2
2020,Colon,59
2017,Colon,37
2021,Brain,50
2018,Stomach,8
2019,Breast,179
2013,Breast,107
2018,Colon,37
2015,Prostate,2
2014,Rectum,1
2021,Lung,32
2019,Colon,40
2021,Breast,218
2019,Rectum,7
2015,Breast,64
2014,Lung,19
2014,Brain,30
2015,Lung,27
2021,Pancreas,2
2016,Breast,105
2014,Stomach,2
2020,Lung,30
2016,Lung,24
2017,Liver,6
2013,Lung,36
2019,Brain,51
2017,Breast,105
2016,Liver,8
2020,Pancreas,2
2019,Liver,4
2015,Brain,26
2018,Liver,5
2016,Stomach,2
2013,Colon,32
2020,Liver,2
2016,Brain,45
2018,Lung,37
2013,Brain,37
2014,Breast,104
2020,Prostate,6
2018,Breast,82
2020,Brain,43
2017,Lung,24
2017,Stomach,4
2018,Prostate,2
2017,Prostate,4
2021,Rectum,8
2013,Stomach,1
2020,Rectum,15
2021,Liver,9
2016,Colon,37
2020,Breast,166
2013,Prostate,2
2016,Bladder,2
2015,Rectum,4
2013,Pancreas,2
2016,Rectum,8
2019,Stomach,7
2018,Pancreas,2
2018,Brain,51
2014,Colon,45
2021,Prostate,1
2014,Liver,6
2017,Bladder,3
2014,Pancreas,4
2021,Stomach,8
2016,Prostate,1
2013,Liver,5
2019,Bladder,1
2020,Stomach,2
2019,Pancreas,4
2013,Bladder,2
2018,Pancreas,1
2017,Liver,3
2013,Prostate,11
2015,Rectum,18
2015,Colon,54
2015,Breast,257
2013,Rectum,26
2021,Colon,48
2021,Stomach,3
2013,Bladder,4
2019,Breast,462
2014,Prostate,14
2019,Rectum,7
2013,Liver,1
2013,Esophagus,5
2014,Esophagus,1
2020,Liver,1
2015,Prostate,11
2016,Colon,73
2017,Breast,317
2020,Prostate,3
2013,Pancreas,1
2017,Rectum,29
2020,Colon,36
2019,Bladder,10
2014,Colon,68
2016,Liver,2
2020,Bladder,11
2016,Rectum,33
2013,Stomach,3
2016,Breast,310
2014,Breast,339
2014,Bladder,14
2016,Pancreas,1
2018,Liver,1
2019,Prostate,3
2019,Colon,55
2017,Colon,69
2014,Lung,25
2013,Lung,46
2018,Breast,403
2013,Colon,78
2020,Breast,355
2018,Bladder,5
2018,Rectum,22
2020,Rectum,8
2013,Breast,375
2015,Stomach,2
2019,Stomach,1
2016,Prostate,10
2021,Rectum,6
2016,Bladder,11
2019,Liver,2
2018,Colon,52
2017,Bladder,9
2017,Prostate,9
2018,Stomach,2
2015,Bladder,8
2021,Breast,510
2018,Prostate,7
2021,Bladder,12
2014,Rectum,23
2016,Lung,27
2019,Stomach,8
2017,Prostate,64
2021,Rectum,30
2015,Lung,26
2015,Colon,24
2019,Breast,11
2019,Bladder,3
2016,Bladder,4
2014,Prostate,46
2016,Pancreas,1
2016,Stomach,2
2016,Esophagus,3
2018,Lung,33
2013,Prostate,54
2015,Bladder,1
2013,Lung,28
2020,Rectum,31
2014,Breast,40
2014,Stomach,1
2019,Colon,41
2016,Rectum,21
2020,Bladder,11
2013,Rectum,21
2021,Lung,37
2017,Breast,33
2019,Prostate,41
2021,Prostate,15
2013,Esophagus,6
2020,Esophagus,3
2017,Rectum,33
2018,Breast,21
2013,Stomach,3
2020,Lung,24
2016,Colon,45
2017,Colon,43
2021,Stomach,5
2017,Lung,26
2015,Esophagus,2
2014,Colon,32
2017,Stomach,3
2018,Stomach,1
2020,Breast,10
2018,Rectum,29
2018,Bladder,3
2019,Pancreas,1
2015,Stomach,5
2015,Pancreas,1
2021,Breast,6
2020,Prostate,22
2015,Breast,24
2017,Esophagus,12
2019,Rectum,22
2019,Esophagus,11
2014,Lung,27
2016,Breast,30
2018,Esophagus,11
2018,Colon,48
2020,Colon,43
2016,Prostate,45
2021,Esophagus,10
2017,Bladder,4
2021,Bladder,5
2021,Pancreas,6
2019,Liver,1
2014,Bladder,2
2018,Prostate,28
2013,Colon,30
2019,Lung,38
2021,Colon,52
2020,Stomach,4
2014,Esophagus,4
2013,Breast,68
2014,Rectum,24
2015,Prostate,27
2015,Rectum,18
2018,Colon,22
2019,Rectum,5
2017,Breast,95
2016,Lung,5
2016,Rectum,6
2019,Breast,108
2018,Lung,4
2020,Colon,14
2013,Breast,104
2016,Prostate,5
2015,Prostate,10
2013,Lung,3
2014,Breast,75
2014,Rectum,2
2020,Stomach,1
2014,Lung,11
2018,Prostate,5
2017,Lung,3
2019,Prostate,6
2014,Bladder,2
2013,Liver,1
2015,Lung,2
2013,Colon,19
2021,Lung,3
2019,Colon,14
2020,Breast,76
2017,Colon,24
2016,Breast,65
2018,Breast,101
2013,Rectum,4
2020,Esophagus,2
2017,Rectum,4
2015,Breast,52
2016,Colon,18
2015,Rectum,3
2018,Rectum,6
2021,Breast,75
2018,Stomach,1
2020,Pancreas,1
2021,Prostate,2
2021,Stomach,1
2019,Esophagus,4
2021,Colon,16
2019,Bladder,1
2013,Prostate,16
2015,Colon,14
2020,Rectum,2
2021,Esophagus,2
2020,Prostate,4
2020,Lung,4
2014,Prostate,23
2019,Lung,8
2016,Stomach,2
2014,Colon,17
2017,Prostate,5
2021,Rectum,5
2018,Stomach,1
2021,Prostate,35
2018,Prostate,5
2021,Colon,48
2019,Breast,114
2017,Liver,4
2017,Rectum,7
2019,Bladder,1
2016,Colon,28
2013,Prostate,1
2018,Rectum,19
2015,Bladder,2
2014,Liver,45
2016,Prostate,2
2020,Breast,83
2016,Liver,15
2017,Breast,110
2018,Colon,27
2013,Rectum,6
2014,Bladder,4
2016,Rectum,7
2015,Pancreas,6
2016,Breast,102
2020,Colon,41
